,names,scores,logfoldchanges,pvals,Cohort,Drug,Target,Test,CellType,logPval_dir,Treatment
6,ProMono-like,-1.963961,-23.064274,0.049534613435626706,HL60,ATRA,RARA,wilcox,ProMono-like,-3.005083592450989,ATRA [HL60]
7,GMP-like,-1.963961,-0.51296115,0.049534613435626706,HL60,ATRA,RARA,wilcox,GMP-like,-3.005083592450989,ATRA [HL60]
0,PC2,1.963961,-0.3832788,0.049534613435626706,HL60,TSA,HDAC,wilcox,PC2,3.005083592450989,TSA [HL60]
1,Mono-like,1.963961,1.296809,0.049534613435626706,HL60,TSA,HDAC,wilcox,Mono-like,3.005083592450989,TSA [HL60]
2,ProMono-like,1.5275252,0.7386178,0.12663045794761718,HL60,TSA,HDAC,wilcox,ProMono-like,2.0664822141033747,TSA [HL60]
3,LSPC-Primed,1.5275252,0.45133272,0.12663045794761718,HL60,TSA,HDAC,wilcox,LSPC-Primed,2.0664822141033747,TSA [HL60]
4,cDC-like,1.0910895,0.072420135,0.27523352407483426,HL60,TSA,HDAC,wilcox,cDC-like,1.2901353632096608,TSA [HL60]
5,LSPC-Cycle,0.0,0.0,1.0,HL60,TSA,HDAC,wilcox,LSPC-Cycle,-0.0,TSA [HL60]
6,LSPC-Quiescent,-0.65465367,-22.179993,0.5126907602619233,HL60,TSA,HDAC,wilcox,LSPC-Quiescent,-0.6680824220792302,TSA [HL60]
7,GMP-like,-1.963961,-0.18171942,0.049534613435626706,HL60,TSA,HDAC,wilcox,GMP-like,-3.005083592450989,TSA [HL60]
0,PC2,1.963961,-3.2828078,0.049534613435626706,HL60,ATRA + TSA,RARA + HDAC,wilcox,PC2,3.005083592450989,ATRA + TSA [HL60]
1,cDC-like,1.963961,0.67940736,0.049534613435626706,HL60,ATRA + TSA,RARA + HDAC,wilcox,cDC-like,3.005083592450989,ATRA + TSA [HL60]
2,Mono-like,1.963961,2.5913675,0.049534613435626706,HL60,ATRA + TSA,RARA + HDAC,wilcox,Mono-like,3.005083592450989,ATRA + TSA [HL60]
3,LSPC-Primed,1.963961,0.6870934,0.049534613435626706,HL60,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Primed,3.005083592450989,ATRA + TSA [HL60]
4,LSPC-Cycle,0.0,0.0,1.0,HL60,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Cycle,-0.0,ATRA + TSA [HL60]
5,LSPC-Quiescent,-0.65465367,-22.179993,0.5126907602619233,HL60,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Quiescent,-0.6680824220792302,ATRA + TSA [HL60]
6,ProMono-like,-1.963961,-23.064274,0.049534613435626706,HL60,ATRA + TSA,RARA + HDAC,wilcox,ProMono-like,-3.005083592450989,ATRA + TSA [HL60]
7,GMP-like,-1.963961,-0.5620493,0.049534613435626706,HL60,ATRA + TSA,RARA + HDAC,wilcox,GMP-like,-3.005083592450989,ATRA + TSA [HL60]
0,PC2,1.963961,,0.049534613435626706,NB-4,ATRA,RARA,wilcox,PC2,3.005083592450989,ATRA [NB-4]
1,cDC-like,1.963961,1.4967222,0.049534613435626706,NB-4,ATRA,RARA,wilcox,cDC-like,3.005083592450989,ATRA [NB-4]
2,Mono-like,1.963961,3.7377083,0.049534613435626706,NB-4,ATRA,RARA,wilcox,Mono-like,3.005083592450989,ATRA [NB-4]
3,ProMono-like,0.0,0.0,1.0,NB-4,ATRA,RARA,wilcox,ProMono-like,-0.0,ATRA [NB-4]
4,LSPC-Quiescent,0.0,0.0,1.0,NB-4,ATRA,RARA,wilcox,LSPC-Quiescent,-0.0,ATRA [NB-4]
5,LSPC-Cycle,-0.65465367,-21.625193,0.5126907602619233,NB-4,ATRA,RARA,wilcox,LSPC-Cycle,-0.6680824220792302,ATRA [NB-4]
6,LSPC-Primed,-1.963961,-0.54168457,0.049534613435626706,NB-4,ATRA,RARA,wilcox,LSPC-Primed,-3.005083592450989,ATRA [NB-4]
7,GMP-like,-1.963961,-0.6431013,0.049534613435626706,NB-4,ATRA,RARA,wilcox,GMP-like,-3.005083592450989,ATRA [NB-4]
0,LSPC-Cycle,1.963961,3.9894753,0.049534613435626706,NB-4,TSA,HDAC,wilcox,LSPC-Cycle,3.005083592450989,TSA [NB-4]
1,PC2,0.65465367,-0.019628486,0.5126907602619233,NB-4,TSA,HDAC,wilcox,PC2,0.6680824220792302,TSA [NB-4]
2,ProMono-like,0.0,0.0,1.0,NB-4,TSA,HDAC,wilcox,ProMono-like,-0.0,TSA [NB-4]
3,LSPC-Quiescent,0.0,0.0,1.0,NB-4,TSA,HDAC,wilcox,LSPC-Quiescent,-0.0,TSA [NB-4]
4,cDC-like,-1.0910895,-0.09508223,0.27523352407483426,NB-4,TSA,HDAC,wilcox,cDC-like,-1.2901353632096608,TSA [NB-4]
5,Mono-like,-1.963961,-0.08665546,0.049534613435626706,NB-4,TSA,HDAC,wilcox,Mono-like,-3.005083592450989,TSA [NB-4]
6,LSPC-Primed,-1.963961,-0.11952502,0.049534613435626706,NB-4,TSA,HDAC,wilcox,LSPC-Primed,-3.005083592450989,TSA [NB-4]
7,GMP-like,-1.963961,-0.07625015,0.049534613435626706,NB-4,TSA,HDAC,wilcox,GMP-like,-3.005083592450989,TSA [NB-4]
0,PC2,1.963961,,0.049534613435626706,NB-4,ATRA + TSA,RARA + HDAC,wilcox,PC2,3.005083592450989,ATRA + TSA [NB-4]
1,cDC-like,1.963961,1.283402,0.049534613435626706,NB-4,ATRA + TSA,RARA + HDAC,wilcox,cDC-like,3.005083592450989,ATRA + TSA [NB-4]
